"search","number_of_searches"
"Rolex",2740000,
"April The Giraffe",1500000,
"Scarlet Johansson",3350000,
"Maldives",1220000,
"Fargo",823000,
"Profiteroles",201000,
"Road Runner",369000,
"Limousine",246000,
"Birthday Cake",2250000,
"The Secret",301000,
"Ralph Lauren",2240000,
"The Silence Of The Lambs",368000,
"New York Jets",250000,
"Criss Angel",247000,
"Visa",1250000,
"Therapy",310000,
"Rafael Nadal",1600000,
"Mozabique",240000,
"The Wizard Of Oz",450000,
"James Brown",550000